Úmonín	-685335.853025	-1074564.05195
Úžice	-708096.935299	-1070294.55635
Vavřinec	-700906.481834	-1068927.19694
Vidice	-691265.966021	-1069161.58957
Vinaře	-668566.623225	-1072702.54465
Vlačice	-672462.69577	-1068685.92998
Vlastějovice	-693861.184516	-1090003.04873
Vlkaneč	-676595.881951	-1081982.75615
Vrdy	-671219.665813	-1070790.62612
Záboří nad Labem	-677040.266026	-1060047.75124
Zbizuby	-704096.154327	-1077942.78995
Zbraslavice	-693918.204385	-1081576.8277
Zbýšov	-680205.978665	-1081744.02127
Zruč nad Sázavou	-699119.803649	-1087196.93773
Žáky	-678612.078728	-1074843.2469
Žehušice	-673858.058177	-1066163.44295
Žleby	-670765.01145	-1074940.26359
Mělník	-733954.86739	-1012639.55827
Borek	-724756.500965	-1031173.26898
Chroustov	-674716.571226	-1029989.47623
Býkev	-739434.4151	-1013914.83304
Byšice	-724999.664366	-1019307.58976
Cítov	-740334.584214	-1011059.13544
Čečelice	-725683.802339	-1022389.60343
Seletice	-692040.273403	-1023278.75413
Dolní Beřkovice	-737416.249248	-1010362.20301
Dřínov	-741480.511338	-1022051.54303
Dřísy	-724607.106709	-1026554.54175
Horní Počaply	-739686.77267	-1006787.12208
Hořín	-736900.893393	-1015420.54592
Chlumín	-738091.765068	-1021642.96724
Chorušice	-721698.282871	-1011405.83763
Chvatěruby	-745915.344575	-1024870.94418
Hořany	-705619.657386	-1046684.24541
Zvěřínek	-700043.513422	-1041652.24257
Velenka	-709284.711138	-1042074.21138
Starý Vestec	-711059.247523	-1040900.58415
Kly	-733358.403452	-1019271.99238
Kokořín	-727795.100657	-1005353.75069
Netřebice	-688951.275672	-1036006.76074
Kostelec nad Labem	-729609.28015	-1029030.00108
Kouty	-689728.072385	-1038324.51281
Kralupy nad Vltavou	-749308.412368	-1025278.54051
Křenek	-725983.83872	-1028600.64476
Ledčice	-748504.858867	-1013962.80948
Lhota	-723316.379184	-1029482.0166
Choťovice	-677633.044045	-1046586.06409
Liběchov	-736312.48437	-1006063.29828
Běleč	-775017.296652	-1041587.50017
Lužec nad Vltavou	-740357.070496	-1016111.93487
Malý Újezd	-730311.370431	-1018334.92058
Mělnické Vtelno	-720594.652482	-1016119.54449
Mšeno	-722969.353898	-1005404.75169
Nebužely	-726122.275748	-1010621.40799
Nelahozeves	-749122.908005	-1021683.27508
Neratovice	-734791.92157	-1025106.13658
Loucká	-752708.957181	-1014145.68025
Královice	-766165.16938	-1019954.21605
Nová Ves	-747125.630209	-1017491.17974
Bílichov	-777412.578574	-1019126.03511
Obříství	-735786.790578	-1019771.16662
Ovčáry	-727720.714126	-1026389.54886
Hořešovičky	-773182.879775	-1017471.29399
Řepín	-723977.018371	-1013574.6757
Spomyšl	-742945.552995	-1014495.14086
Střemy	-727829.856628	-1012613.36829
Tišice	-730350.454023	-1025063.84499
Úžice	-741365.760106	-1023901.3355
Velký Borek	-730701.273052	-1015479.77716
Veltrusy	-746393.308789	-1021689.89644
Vojkovice	-742982.175269	-1018768.01195
Vraňany	-744448.258419	-1015988.1348
Všestudy	-745140.444732	-1019396.10041
Všetaty	-728597.695119	-1022796.35903
Vysoká	-730966.992269	-1008868.22684
Zálezlice	-738835.551812	-1018910.18907
Záryby	-726662.204302	-1031048.92319
Zlosyň	-743878.910926	-1022206.33183
Želízy	-732739.331769	-1005486.0486
Mladá Boleslav	-703961.131488	-1011547.09981
Bakov nad Jizerou	-700177.986937	-1005178.19196
Bělá pod Bezdězem	-709953.878148	-1000008.4565
Benátky nad Jizerou	-709897.099549	-1025123.1026
Bezno	-711693.413728	-1016061.80236
Bítouchov	-703584.410727	-1004549.21579
Boreč	-716232.632542	-1010299.17428
Boseň	-693321.221072	-1001987.15191
Brodce	-707169.41584	-1020962.20819
Březina	-692471.364356	-998364.242125
Březno	-695808.163796	-1013703.72136
Bukovno	-708450.595532	-1007682.6341
Čachovice	-704021.251747	-1025526.55751
Čistá	-707417.145442	-1004358.06447
Dlouhá Lhota	-692813.366822	-1011850.29432
Dobrovice	-701002.026464	-1017045.47687
Dolní Bousov	-687990.863518	-1010799.97163
Dolní Krupá	-704912.368671	-997675.671659
Dolní Slivno	-717336.05324	-1021579.92512
Domousnice	-690092.163248	-1014406.31064
Horky nad Jizerou	-709376.208553	-1020665.14961
Horní Bukovina	-700799.360029	-997290.986887
Hrdlořezy	-705491.795594	-1005071.88026
Chocnějovice	-696822.950208	-993343.508573
Chotětov	-712936.399411	-1019312.65703
Jabkenice	-696393.027393	-1022507.64521
Jivina	-698670.84389	-996853.314921
Katusice	-713845.815265	-1006265.43131
Klášter Hradiště nad Jizerou	-699339.415138	-999288.518543
Kněžmost	-692594.732049	-1005578.32596
Kochánky	-715308.50721	-1025226.93797
Velenice	-684342.322809	-1036866.69061
Kosořice	-700271.525618	-1020654.34012
Kostelní Hlavno	-719508.499789	-1026770.58884
Krásná Ves	-710935.940082	-1009365.20745
Krnsko	-707707.108277	-1014243.5897
Kropáčova Vrutice	-719190.998311	-1019169.38562
Ledce	-692438.492848	-1019962.1466
Lhotky	-692963.186176	-1015710.7436
Loukovec	-694023.425279	-995998.77253
Luštěnice	-703841.576227	-1021588.98378
Mnichovo Hradiště	-696140.556518	-1000382.3382
Němčice	-703399.825726	-1019139.13642
Nepřevázka	-704098.77036	-1015808.13484
Nová Telib	-695256.574857	-1015459.04678
Obruby	-690623.216745	-1008372.70186
Petkovy	-691768.086098	-1013095.75756
Písková Lhota	-706611.446673	-1016637.3111
Plazy	-699335.251474	-1011745.78824
Předměřice nad Jizerou	-714276.148882	-1027913.59078
Řepov	-700037.372285	-1013207.08487
Semčice	-696857.136505	-1017539.93663
Skalsko	-714388.24541	-1009166.44014
Smilovice	-701193.414015	-1024173.55838
Sojovice	-716621.68229	-1031604.33705
Strašnov	-705860.725443	-1018206.67333
Strenice	-710127.077259	-1013889.996
Sukorady	-694943.380154	-1010932.67775
Velké Všelisy	-716157.257592	-1013558.05871
Všejany	-702965.170061	-1029295.55657
Žďár	-689142.168179	-999655.267134
Žerčice	-695136.906813	-1017895.96402
Židněves	-697595.677857	-1012063.50684
Nymburk	-697603.555567	-1038164.84489
Běrunice	-675290.628634	-1039926.91337
Bobnice	-695795.669734	-1034416.74864
Bříství	-712453.964762	-1041528.17891
Budiměřice	-692492.419341	-1037187.36022
Činěves	-684980.362031	-1034635.29216
Dlouhopolsko	-678947.858707	-1041562.20126
Dobšice	-682296.586255	-1045302.45432
Dvory	-699340.152948	-1034843.72205
Dymokury	-685531.59261	-1031749.86583
Hořátev	-698019.398673	-1041891.07452
Hradčany	-681213.973643	-1043290.63139
Hradištko	-706121.612039	-1041518.57927
Choťánky	-689485.856684	-1043594.74277
Chotěšice	-680880.894385	-1030158.68864
Chrást	-709001.805538	-1044042.35447
Jíkev	-695392.213211	-1029985.94836
Jizbice	-699855.536068	-1029825.39282
Kamenné Zboží	-700360.80383	-1036608.06248
Kněžice	-675100.35062	-1032439.18654
Kolaje	-683528.290775	-1042937.55163
Kostelní Lhota	-699584.214724	-1044195.85382
Kostomlaty nad Labem	-703821.140433	-1036342.50039
Košík	-689160.636878	-1023526.91694
Kounice	-711620.083227	-1044372.37745
Kovanice	-695647.662875	-1041063.09127
Krchleby	-698185.045664	-1031654.00092
Křečkov	-692239.514824	-1039164.20404
Křinec	-689523.607813	-1029455.54086
Libice nad Cidlinou	-688711.649796	-1046387.1289
